Data	Happiness	Sadness	Anger	Fear	Disgust	Surprise
Kash ke teen talaq bill pas ho jata to Aaj in bachiyun ka Gang Rape Nahi hota !!!!!!!  https://twitter.com/rssurjewala/status/952875717901078529 …		Mixed				
Aissa odisha state hai,bina rape kiye hue ko bhi rape mei ander bhejte hai hai, sharm karo odia wale pic.twitter.com/1RlhSUkHwO					Hindi	
Mallab nirbhaya ki headline isliye bani qki WO general thi ?			Mixed			
Abe kutte Tum log Hindu Muslim karte ho saboot shambhu regar ko Hinduon ka neta kahan Jo behan bolkar ladki ka rape karta tha bikau ho be					Mixed	
Rape ko support nahi Karna chahiye jahe wo koi bhi ho			Mixed			
Jab 8 year ki aayesha Ka rape hua tab Porki kaha mar gye the ..			Hindi			
Sir ji aap ka jan man to accha lagta hai per ek din me 3 rape hua hai haryana me koi MEDIA  abhi tak nahi dikha rhi hai sub ke  sub abhi modi ji ki jhappi per debate kar rhe hai  hai		Mixed				
Jignesh time has come to raise voice against rape scandals hope you will agree with me that Jis desh me Maa Behan Beti Bahu surakshit nahi hai us desh ka P.M. 56 inch ki chaati ka achar dalenge.			Hindi			
Yaar hatti hui h meri. Matlab har jagah ek hi tamasha hai .. Marital rape ko rape consider hi nahi krte kanjar kahi ke			Hindi		Mixed	
Indians kutay apni maa bahan ka rape kerwa ker washrom dhondtay hain					Mixed	
Respected Amit Bhai, jai shree ram. Kuda Kachra Safai abhiyaan jaisa koi aisa upaay hai kya ki logo ki gandi mansikta or vichaar ki gandagi dil aur dimaag se mitaee jaa sake. Nirbhaya wala case jab hua tab centre me congress gpvt.thi, lekin aaj bhi kuchh nahi badla.		Hindi				
Kya ho raha hai? eik bachi ka rape hua aur usse mar dia. eik bande ko goli maar di aur ab eik aur bande ko 16 goliyaan mar di. The only son of his parents.. Intezar Siddique #JusticeForIntezar		Hindi				
Haryana me ek din me  3 rape hua   ussi se mudda  bhatkane ke liye  togadiya  ko gayab kar wa diya  abhi tak MEDIA  ne haryana rape cand per baat nahi kiya hai sub ko apni #DALALI  mil chuki  hai					Mixed	
Dear Anna ji kaha hai aap andolan nahi karenge kaisa BJP ka sasan chal raha hai Suprem court ka kya hal wo sabke samane waha ke ekjudge ki maut hoti hai koi puchne wala nahi hai Delhi Hariyana me itne   rape ho rahe hai. Kewal congress govt. me hi sab nazar aata tha.		Hindi				
"lol jao porn dekho miya. Chote bacho ka rape karo ""Bacha bazi""."					Mixed	
Suhag raat me biwi bolegi DON'T TOUCH ME WARNA RAPE CASE ME JAOGE ANDAR				Mixed		
Nirbhaya case ke samay saare patrakaar sadak par they , ab kya ho gaya , kya Haryana ki betiyan ka dard aap logon ko vichlit nahi kar raha			Hindi			
Hariyana mei ek din mei  4-4 bachiyon se rape aur sharm nahi ati wahan ke logo ko . .doob maro . .					Hindi	
All Bhakts Silent on Nirbhaya Like Rapes in Haryana , Antaraatma Mar gayee hai kya ?			Hindi			
pagal ho rape jaise matter ko drag kar rahe ho itne se baat mein vote kyu nhi kiya jitne ke liye			Mixed			
Desh ke andar betiyon ka rape karne walon ke liye modi sarkar ka khaas plan lab  ayega...		Hindi				
Pahale to nirbhaya ke rapist ko jis kutte ne silai machine diya ,  us bhadawe ko goli mar do			Hindi			
Haryana main lagataar ladkiyon ke saath Rape ho rahe hain , Nirbhaya jaisi haivaniyat , kabhi samay mile to us par bhi charcha kar lena Manak ji		Hindi			Hindi	
sir aapne desh ki bhalai k liye kitne bade kadam uthaye like surgical strike,demonitisation, lekin hamare desh ki  bahut badi aur 4th largest problem hai Rape. plz koi aisa kanoon banaiye ki darindee aisaa sochne se bhi tharthara uthe. i hope you will do something.		Mixed				
ye hamesha hota raha india me corruption rape loot ye sab aam bat hain gov milkar karti h https://twitter.com/SirRavishKumar/status/952869704149839872 …		Mixed	Hindi			
This is bullshit. Y no strict rule is coming. @narendramodi kya sote rahoge. Yaha maa beti behan sab rape ka shikaar banti rahrngi. Band karo yaar. Sarkaar ki dukaan.			Hindi		English	
Ye haryana mein sach mein khatara sarkaar h. Ek aur rape haryana mein.					Hindi	
Sir kabhi Desh ka haal bhi dekh lijiye, Betiyoon ke rape badgaye ,Corruption of 2G was not done,Mopalwar is clean, Adarsh didn't happen,Jijaji is honest n India is corruption free as Jay shah is clean..Mai Desh nahin jhukne Dunga ...Sir Desh sharminda hai ki aapko Suna aur chuna		Both				
@myogiadityanath Hamirpur rape kand ka news dekh ke dil sihar utha.UP rapists ke adheen hai. Aapke CM bane 1saal hone ko aaya but UP me rapist abtak freely rape ko anjaam de rahe hain. Poore world me UP ke rapists ne humaare desh ka naam kharab kiya hai. Sakht action lijiye.		Hindi			Mixed	
Arre Bhakt Didi kuch Haryana me ho rahe Rape pr bhi bol do?Wo bhi kisi ki Bahen Beti h,Rashtrwad jaage to MP me Lady teachers ne apne baal mundwa liye,ho sake to unke dard me shamil ho jao,Ye bhi taklif me h,Ummid h party line se alag hatkr kuch bolengi?Waiting for ur reply?		Hindi				
Bharat desh mein jo niyamit roop se hota hai wo kuch or nahi rape hai..			Mixed			
Bjp ke rajye mein rape murder ho rahe hain bjp sarkar kya kar rahehain. Meine aise nikami sarkar nahi dekhi			Hindi		Hindi	
Hariyana me ek din me char rape k mamle huwe magar aaise bhand news anchor uspar debet nahi karayenge to kya enpar shaq nahi hoga....			Hindi			
Hariyana me ek din me char rape case ...par a sumit bhaisab .... Ek postar ko leke debet karte hai.... To enpar shaq nahi hoga kya...			Hindi			
#Modi  sir pichle 3 din se Haryana main RAPE ke baat sun kar dil dahal Gaya . Kanoon vayvastha lachar ho chooki hai plz sir is bare main aap feedback leziye		Hindi		Hindi		
Koi safe nahi h iss desh me, daily rape ho raha h murder ho raha h			Mixed			
Roj roj Congress Ko gaali dekar Khush ho gaye ho to kabhi Haryana me jo Nirbhaya jaisa gang rape ek hi din me 4 hui hai uspe v debate kar lo Sumit g			Hindi			
Haryana me #AkhileshYadav ki govt aa gayi h kyaa???? Has #SamajwadiParty taken over Haryana???? Bahut rape ho... https://fb.me/JupnI75F 					Both	
Jo bhiii criminal haii against rape unhe seedha faashi ki saazaa mini chaiyee m bhiii ek bjp ka supporter huu m modi ji aur khaatar sarkar ko request krta hu ki iske against serious action liya jaaye			Mixed			
Haryana mein rape pe rape...aur ye ?.. abey insaan bhi ho ya paiso ke liye aatama tak bech chuke ho???						Hindi
@narendramodi R/s PM ji thoda sa to bolo Haryana ki betiyo k upar chupi todo. Ek din me 3 gang rape JIND,PANIPAT,FARIDABAAD. Thoda sa to bolo ,votes k sath mat tolo JAI HIND		Hindi				
Rape ki saza Sabse behtareen Islam ne batai hai jo aqal k mutabiq bhi hai  , beech chaurahey me Patthar mar mar kar khatam kar diya jaye.			Hindi			
Delhi me ek nirbhaya gaing raip ne poora India ko hila kr rakh diya tha, ab haryana me hr roj gaing raip ho rhe h. Caindal March wale khi najar nhi aa rhe h. Media bhi so rha h. ..		Mixed				
Gau mata important hain aurton ka rape hota hai toh koi baat nahi					Hindi	
Yaar ajeeb aadmi ho karnataka me itne rape hue wo kya rape nahi the, agar rape bhi rajneeti ke liye use karte ho to bada dard hota hai, sirf bjp shashit rajyo me hua to mudda hai aur tweet karo varna...Sharm karo is rajneeti per...Sabke baal bachhe hai...		Hindi	Hindi		Hindi	
@BJP4India Modi Khattar slogan 'beti padhao beti bachao'. In practice rape murder honay do. Nikamba baysarm ho kar dekhtay raho.		Mixed				Mixed
@narendramodi Rape ke liye kanoon banwaiye sir, choti choti bachhiyon ko maar dete hain- kitna dukh hota hai. @mlkhattar		Hindi				
Yeh log jo bacho ka rape karthe hain. Wo maut sy nahi darthe. Jitni phansiya dalni hai, dal do. Public men b karo. Leken jub tuk awareness, acceptance aur taleem hasil nhi hoti tub tuk koi real social progression nahi hoga. #ZainabMurder #Kasur #ZainabZindaHai #zainabansari			Mixed			
1947 to 2014 tak kyu hua rape aap bhi jawab do. Mahila empowerment ka sab se bada problem congrees hai. 3 triple talak lok sabha m pass rajya sabha m fale. Jo apni wife ko instant 3 talak dega woh apni wife ko kya manta hoga.					Hindi	
@prateektv @PrateektFanClub sir aaj jo apne question pucha bahut hi sensitive tha. iss ka answer kise k pas nhi hai but Sir, jo log rape mai involved hote hai agar hum unki Family ka bhi bicott karne lage tab shayad kuch hoga.bcz they support proof hone k baad bhi						Both
Agar Government ne Kasur men 1st rape k baad he action lia hota aur Rapist ko pakarlia hota to itne saaray bachon ki zindagi khatam nahi hoti #JusticeForZainab		Hindi				
Kaunse video mein? CD waale video mein to rape hai humor nahi. Bechari majboor wakil ko promotion ki gajar latka ke rape kar raha hai Manu Singhvi.			Mixed			Hindi
Rapisto ko sab ke samne mar kyu nahi diya jata esa karoge tabhi rape kam ho jayege			Hindi			
Hariyana  mein  ek din 3 rape  aur #DALALMEDIA MEDIA  modiki jhappi per debate  kar rha hai  aur kahttar baba so rhe hai  kisi dasi ke Saath			Hindi			
@prateektv amitabh bachan sir ne twitter par ek kawita dali hai kya karoon sambedna leke. Mai @narendramodi jee se aur unke pure party se puchhta hoon kya karu sambedna leke.		Hindi				
Aur nirbhaya kand main sahab dedbody ko lekar abroad bhag Gaye. India ko aisa bana rakha tha ki us leave ka koi hospital nahi Tha Delhi main.					Mixed	
Hariyana mein ek din mein  teen rape  khattar  baba so rhe hai  aur #DALALMEDIA  modi ki jhappi per  debate  kar rhe hai ye hai inka beti  bacchao abhiyan. Nirbhaya Again!		Hindi				
"badi sabhya languge hai. ""Rape"" jaisi term ko use karne se pehle ek baari soch liya karo"			Mixed			
Ye saale humanity ki baat krte h pr jb ek Palestinian bolta h ki hum Israel ko bandhi bna kr unki aurto ke sath rape krenge tb kuch nhi hota.... Aise he ye kashmir mudde pe krte h... Ye kbhi desh ke nhi huye na honge			Hindi			
"wahi ravish  jo westbengal m nun rape case mai rss ka naam le kar ro raha tha,aur jab asli gunehgar ka ""naam""pata chala to silent mode mai gaya,wahi ravish jo dadri mai roya,lekin malda porniya mai chup raha?wahi ravish jo karnatak punjab k kisano k suiciede per chup raha?"			Mixed			
ye sab twitter per naam k aage rajput lagane se kuch nhi hota agar tumlog asal rajput ki paidaish ho to rape k against protest karo n i knw ki tumoog nhi_kroge cz tum khud ladkiyo ki respect nhi krte...			Mixed			
Tere liye rape toh sirf muslim ladkiyona ka he hota hai hindu ladki ka rape rape nahi hota sharam aati hai mujhe tere jaisi ladki pe jo rape me bhi sirf muslim dalit hindu dekhti hai					Mixed	
Koe nai roke ga PML-N ko child abusing, rape, murder se, corruption se, Rupee ki value girane se, educational system tabbah karne se, galiyaan dene se, law enforcement tabah karne se, Modi ko call kar k LOC ki khelaf warzi karne se, or Pakistan ko sab k samny bhikari dikhane se		Hindi				
deepak g aaj kya 5 baje debate me 3 bachiyo se rape hua h hariyana me kya us pur debate keroge kya			Mixed			
Hindustan ka durbhagya dekhie- yaha rape pidit.....logo ki najro me gir jati hai aur porn star logo k dilo par raj krti h....		Hindi				
hariyana me tumhare akaon ki hi sarkar hai jahan ladkiyon ka rape aur murder ho rahe hain us par debate nahi karoge			Hindi			
Agar aapko rape par rajneeti krne se phursat mil jaaye to kabi karnataka me ho rahe gang rape par bhi kabhi kuch bol diya kijiye ?		Mixed				
Bilkul sahi baat hain...par agar AAP ke paas police ka power nahi hain tho unhe kyu zimmedari tehrana agar rape jaise gandi ghatna ho...AAP ke paas sirf education, bijli paani aur roads par hak hain aur unhone saare par behtar kaam tho dikhaya hain	Mixed	Mixed				
Nirbhaya kand kiske shasankaal me hua tha wo bhi Capital Delhi me ....UPA aur Congress ki Sheila Dixit Sarkaar ke naak ke neeche...ek Shehar jaise state ko sambhal nahi paye ab chale hai @narendramodi aur @myogiadityanath ki sarkaar pe lanchhan lagate hue			Hindi			
Aur pichle 1 month me 3 3 betiyon ka brutal gangrape bhi ho gaya, uspe bhi kuch prakash dalenge aap mahamahim		Mixed				
Bas photos post kerte hai kabhi Mandir to kabhi meeting ki hamare ministers ji. pic.twitter.com/ZbuPgJ2Zcc		Mixed				
dekh k kaafi achha laga ki ladkiyo ki sankhya badhi hai lekin unki surakasha k intejaam hone chaiye...lagataar rape ki news aa rahi hai haryana se jo insaaniyat ko sharmsaar kr rai hai	Hindi				Mixed	
Oye khattar hai ya khatara? Uth ja ab.. Kitney rape karwaega.. Wake up.. Yogi se seekho kuch.. Mard bano.. Faisley lo sakht se sakht.. Nahi to vahi manhoos hudda aa jayega vapis..		Hindi			Hindi	
Allah ka qanoon is the only way  Allah k qanoon k mutabik saza dena shru karo uske baad agar ek waqia bhi hogaya to mjhe kahna ye sab america aur europe main azma chukay hain woh log but koi faida nai hua america main har 4 mints main ek rape hota hai sab se zyada rapes			Mixed			
Yogi ji ko Karnatka ka law n order kharab lug raha hai unko apni padosi state Haryana ka law order kyu nahi dikhaie dete jaha roj rape hote		Mixed				
What the hell!! Roz ka din rape ki news se start ho raha hai. Insan nahi saale bhediye bhare pade hai maar daalo saalo ko.. jahan dikhe thok do koi case vase chalane ki zarurat nahi			Hindi		English	
What the F**k!!! Again it happened  jitna bhi bolo lekin ye kamine aadami ( culprit) sudharenge nahi kabhi . Phir se ek aur Nirbhaya ?			Hindi		English	
Sena to rape karti hai sena chief to gali ka gunda hai ye aap logo ne hi bola tha na to ab kis muh se army day wish kar rahe Ho...ye army hmari hai samje tum jese gadaaro ki nahi..nahi chaiye apki wish jisme zehar bhara ho...hmari army zindabad..congress party murdabad			Mixed			
Jaago....govts. jaago....ya citizens hi hathiyaar uthaaye....kyuki aap logo se to kuch ho nahi paa raha....incompetancy ki bhi hadd hai yaar. Haal yeh hai ab roz ek NIRBHAYA KAAND ho raha hai....India mein.			Mixed			
Right and abhi jab mai vaishnodevi gaya tha waha ek fauji s mulakat hui usne jo kahane sunai kasmir ki bahut he dardniya hai.usne bataya fauji log khud gharon mein ghuskar waha mahilaon k sath rape karte hain and agar yeh reality hai to bahut he sharmnaak baat hai .		Hindi			Mixed	
@narendramodi Sir - beti bachao aur beti padhao to theek hai. Lekin betiyo ke gang rapes hi hote rahenge to kaha rahengi beti aur kaha ghar se niklegi padhne ke liye rape ke khauf se. Implement the strongest law to punish the criminal with the harshest punishment.				Hindi		
And what’s up with this taali aik haath se bhi nahi bajti logic? Jab rape cases me aik hath se baj skti hai toh yahan bhi baj skti hai.			Mixed			
Aur is vedio ko dekhne s pahle anuj loya ka press conference dekh lete to thoda bahut sharam aa jata besharam tujhe					Hindi	
pakistan se bohot kam rape/assault rates hain US main, wese bhi pakistan/india main adha waqt rape report bhi nahi hota hai. jese jo apne ghar wale bache ko molest karte hain, ya jo shohor apne biwi ko marital rape karta hai, yeh cheezein aksar report nahi hote hain pakistan main			Mixed			
Rape is not something to joke around...aurtai yaha bhi hai aur waha bhi please khuda ka hi khauf karlo		Hindi				
India me to sab galat hota hai but Islamic Pakistan me q ho raha hai. Wahan to sab terrorists hain phir bhi bachcho ka rape ho jata hai		Mixed				
aurton ka rape karte ho salo procedure ke naam pe			Mixed			
pata hai na tere guruji @RoflGandhi_ ke upar Rape ka case hai?? ek rapist ko support karte ho			Mixed			
@msisodia @ArvindKejriwal aap to na bolo to hi thik h, nirbhaya case wale ko silai machine nd 10k rs apke kejriwal ne hi diye the			Hindi			
Nirbhaya case me verdict deke kaunsa upakar kar diya?? (without all due respect) Jo cheez ankho ke samne jo cheez ho usse bhi mukarne ki gujaish hoti h kya? Fir to Kasab ko saja sunane wale ko Bharat Ratn dede?			Hindi			
Is desh mai rape toh kar sakte hain,But rapists ko thappadd bhi nahi mar sakte						Mixed
Yakub Menon aur Nirbhaya par nahi bole aap. Its fine moron Hindus like u ll not understand.		English				
Nhi zainab ka nhi tha wo case but i wonder uske liye kisi ne koi awaaz nhi uthae!!  sala apne desh ka kisi ko kuch nhi lekin trend k peeche jayenge #JusticeForAllChildren			Hindi			Mixed
Yahan festival manane ki khusi kahin matam hai Har roz bachion ka rape ho raha hai.ish festival kuch esha karo ki india me rape honna band ho jaye. pic.twitter.com/xfkkkSRLF7		Hindi	Mixed			
Keya app ko pata hai kal jharkhand ke ek asram ki kuch ladki jo pundit ka Education le rhi thi. Unho ne Police me complain keya hai. Ashram ke teacher sadhu logon ne unka rape keya hai. Wahan har roz ho ta hai. Rape ka dhandha. https://twitter.com/aajtak/status/952372161347428353 …					Mixed	
Dressing matter kerti hoti tou humari puri industry ka aj rape ho chuka hota.			Mixed			
Bhai Tu so jaa ab, itna tension mat le, modi bhi nai leta. Tension lena hai toh uska le jiska gang rape hua aaj gurgaon me						Mixed
Kis baat ka Proud kar rahi ho Maryam Safdar ? Tumari PMLN ke Goverment main 250 bachon k sath Rape howa Kasur main. Phir 12 bachiyo ko Rape k baad Murder kiya gaya. Kahan thi Police ? Tum Corrupt Family ke Security pa.			Mixed			
True,shakal nahin milti,drama kiya hai show baz ne,PMLN MPA involve hai iss pooray child pornography k case mein,100 se ooper rape ho chukay hai  qasoor mein since 2015					Mixed	
i wish itna protest zinda auraton ke liye bhi kiya hota aaj rape na ho rhe hote India mein. Shame on u morons..			Mixed		English	
Jitna log padmaavti movie ko ban karne m lage huye h utna agar ye log #rape karne walo k khilaaf hote toh #desh aaj kuch or hota..		Mixed				
sir, news paper me rape case ki news aati rahti he.. .log tab naari ke swabhiman and respect ke liye oppose kyo nahi karte he????????????		Mixed				
ek ladki ka rape ek baar hota but hamari society usko aise dekhti hai jaise galti uski ho.. aur sach kahun toh ek aurat hi aurat ki dushman ban jati hai.. usko galat tagg dene wali...kyu ek rape victim ko normal jeene ja haq nai?			Mixed		Hindi	
These karni sena n rss playing divide n rule in india...unko koi ladki ka rape ho jaye to kuch nhi...par ek movie k liye pura mahabharat khada kardiye #shame			English		Mixed	
Koraput mein ek ladki ki gang rape hua Tha. 3 month ho Gaya kuch nai ho paya. Toh ladki ne suicide karliya aaj. Kya Kya ho raha Hai dunia mein		Mixed				
Itna virodh aap logo ko kabhi rape ke liye nahi karte dekha, public property ko barbad karne mei kis bat ka johar			Mixed		Hindi	
Amit Shahji, Haryana mein Suraksha ki taraf Dhyan dijiye. Rape ke case bahut badh gaye hain. Party ki image kharab ho rahi hai https://twitter.com/AmitShah/status/951642715413872640 …		Mixed				
@anjanaomkashyap hi ashok pandit jo kah rahe hai ki Haryana aur Rajsthan me sb se jyada rape ho raha hai ..us se jyada kahi ye log casting cautch karte hai @aajtak @Karni_Sena @Karni_Sena @UpdeshRana @@sardanarohit @SureshChavhanke		Mixed				
nirbhaya pe film ban chuka h, banned bhi hogya, lekin kisine oppose nhi kiya		Mixed				
Kuch saalon bad bollywood ek movie banayega jisme nirbhaya ke rapist ko hero dikhayenge aur chomu log uski bhi tareef karenge	Hindi				Mixed	
Jis police officer ki TERRITORY mein rape ho use bhi rapist k saath #FAANSI ki saza deni chahiye. Sansad mein ye kaanoon laaiye...Police waale apne-aap sudhar jaayenge or Desh sudhar jaayega.			Mixed			
Afsoos ki baat ye hai k humey 6-7 rape aur murders ka intezar kyun karna para isko arrest karne k liye? Sirf is liye k tab itna shor nai macha tha? Ya tab elections nai the sar pe? https://twitter.com/dawn_com/status/955828684279205888 …		Mixed				
Lies lies all lies, not lettig the father speak, laughig infront of him kuch lehaz karay yay shaqs k barabar mai shaqs baitha hai jiski beti ko rape kar k mara hai us par kya guzrti hogi		Both				
I have been lately coming across alot of fellas who have been saying KI KASH JESA VIRODH PADAMAVATI KA HO RHA HAI RAPE KA BHI HOTA		Hindi				
Kisi ki bhi gov ho rape hote hi hai. Kissi ko gaali de ke kuch Na milna. Apni soch badlo rape khud khtam ho jaayenge. Rapeis not political problem it is social problem and only society will solve it			Hindi			
Rape huva uss pe log protest karane ke liye samane nahi aate ye galat h , but sirf paise kamane ke liye kissi ke history ke sath ched chad karana bhi galat h , jb bordar pe solder shahid hote h tho ye vahi log jinke pass time nahi hota comment karane ke Liye		Mixed	Hindi			
Ek qasur mein zainab ka rape hua tha or ek hamari cricket team ka rape ho raha hai. or accused bhi samnay hai. Kya Headline Banate Hai Mediawale...		Mixed				Mixed
Bahut dalit dalit karta hai woh, jab dalit ko railway station mein maara tha aur woh paralyze ho gaya tab kuch tweet nahi kia			Mixed			
Aise bol rahe ho aap jaise Congress ke waqt toh kuch hi nahi tha, kuch rapes nahi hue kya? Congress ke under sabse high the rape rates. Bjp ke under bhi hote hai par bahut kam hai.			Mixed			
Sir itni bakwas macha Rakhi hai logo ne ye theatre bhi jala denge or jab rape hota hai to inke pairo me mehndi or hatho me kangan aajate hai  #riprajput@NavbharatTimes Is tarah ye neta- @KirronKherBJP rape jese apradh ko or barawa de rahe he			Mixed			
tere muh dekh k log vomiting na kre rape to bhut dur ka baat h					Mixed	
Yes rape is ban by law in india bt not by the peole.padmavati ke virodh se bhi bde issues hai india me agar awaj uthani hai to unke liye uthao.rape ke liye strong law bnanya jaye taki lnsan rape krne se phle soche iske liye awaj uthao taki society me, india me rape hona bnd ho.			Hindi			
mera bus itna poochna be aapse ke itna log tab jama ku nai hote jab rape hote he or ho rahe he still desh me? Ku jama nai hote sab tum log bhai?		Hindi				
Kabhi child marriage, rape, dowry ke upar itna mehnat karte ya phir soldiers jo itne Marr rahe hai agar Unke against itna kiye hote to phir hota Koch ek film se ouch nhi hota sir		Mixed				
Politics Apni jagah magar agar dharm ki bich me laye to jawab Dena hame bhi aata hai ki kaise  Brahma ne apni hi beti ka rape kiya tha			Hindi			
Aur kehte hai beti padhao beti bachao and innocent boys par fake rape cases lagaane ke sanskaar do apni daughters ko....feminist			Mixed			
Aaj ke time mein  crime against boys bhi bahut ho rahe hai....girls aajkal rich and handsome boys ko love trap mein fasakar unse paise nikaal rahi hai and ladka agar paisa naa de to fake rape case laga deti hai..crime karne wali ladki hai to kisi ki beti.. #BiasedMedia pic.twitter.com/9jmOh6XrtW		Mixed				
Duniya me itne rape ho rahe h  uske liye kuch nhi krna ek film k liye dharne PR bethe h saale mental pic.twitter.com/byfqKSZoja			Hindi			
Padmavat ban se jyada mehnat agr rape k Lia Kiya hota to sayad rape hona band ho jata...... https://twitter.com/timesofindia/status/955683583644938240 …		Mixed				
Waiting this movie desperately yaar kiya ho gia h india ke logo ko  jin cheezo ke liye fight karni chahiye like rape, crime,bharoon hatiya,dowry system,crupption, uske liye toh kabhi ikathe hokar fight nahi ki koi Film a Jati h toh bewaqoofo ki tarah sab dekha Dekhi Hero bante h		Hindi				
Sahi baat h..... Aur SC ko bhi filmo ke liye time h .. But rape or murder jese serious issue jese ke liye time nahi h..ab isme kya behas krni .		Mixed				
Saalo khud ka dimag lagao na sirf film hi mili protest karne k liye bc rape par karo ,child abused par karo  #isupportpadmaavat @RanveerOfficial @deepikapadukone @shahidkapoor #padmaavat			Mixed			
Kiran kher aaj aap keh rahi hain aaj se nahin saalon se ho rahe hain rape yeh Nirbhaya ke samay nahin socha tha tab to candle march nikalne main lagi thi			Mixed			
Ban kia toh kya rape nahi hote? Jo lakho lakho unemployed log.. Highway jam kar rahe hai, bus jala rahe hai, Theatre tod rahe hai.. Woh agar apne aurote ki raksha mein lag gayi toh kya rape ki chances kam nhi ho jayengi? Gadhe to ho he tum waise bhi l.			Mixed		Hindi	
Producer banne chali hain,iske sare paise khake isike hotel room main rape karke kahin ka nahin chodunga!Whose words are dese? @SrBachchan @vineetjaintimes @rashtrapatibhvn @narendramodi @arunjaitley @sonalkalra @smritiirani @nandinibhalla @priyatanna @rajnathsingh @rajcheerfull pic.twitter.com/5UOzVcI3nu					English	
Jitna #Padmavaat k liye Halla Kar rahe Hai Utna hi Agar corruption, rape aur Desh k baki problems k khikaf awaz uthaye toh Desh ko fayda hoga!		Hindi				
Rape murder in sab cheezo mai aage ni aayege but valentine to inki shaan ke khilaf hai https://fb.me/UkUR6YfJ 			Mixed			
Jitne Tan-Mann se karni sena padmavati ko virudh kar rahi hai waise hi.. Woh desh mai hote corruption, Rape, naxalite activities n pak related chejo ka Virudh karti toh aur aacha lagta #padmaavat #KarniSena		Mixed				
Or Pakistan ki Baat kaar lo... majority aap logo ki hai Baacho ka rape kark Acid main dala jata hai...means Asi asi harqate ki Isnhan ki Ruh kaap jaye				Hindi		
Logon ne tujh jaise gawaron ko Minister film pe review ke liye nhi banaya. Ram Rahim ke talve chat liye. Ab pratidin ho rhe rape pe soch le.			Mixed			
Tu apni state mein rape, violence rok. Haryana ki durdasha kar di hai. Film bada issue nhi hai murkh. Bada Deshbhakti ka tekhedar bna hai.			Hindi			
I Am Rajput and I support Padmaavat.Zaruri nhi k Aap Rajput Ho to Padmaavat Ka oppose hi karo.Agar Rape k Khilaf Itna strongly oppose krte to aaj India me Kisika Rape Nhi Hota. #SupportPadmaavat @deepikapadukone @RanveerOfficial @filmpadmaavat @shahidkapoor			English			
Tum to deshbhakti mat sikhao. Nirbhaya ke katil ko sewing machine kis kutte ne di. Sergical strike ka proof koun suwar mang raha hai. Aap pahale deshbhaft bano ji			Hindi			
koi aisi cheez jo haryana mei acha hua ho .. crime rape baba har kuch hota hi rehta hai or khattar sahab masoom bane rehte hai jis state ka police officer rape ko #ho jata hai bolta hai vo state mei ladkiya kaise aayngi !		Hindi				
Padmavati ka virodh karo sirf.sarkari property ko nuksaan pahuchao..		Mixed				
Pahle itne nahi hote the. Ab films bahut sex se bhari hein aur sharab ka prachlan bahut badh gaya hei. Films par to rok lag nahi sakti par pure desh mein sharab bandi ki ja sakti hei . ap payengi ki rape ghat gaye hein.		Mixed				
Itlay waali Bar dancer kabhi Indian nhi ban sakti Indian banne ke liye sanskar chahiye jo Itlay  bar waali me ho hi nhi sakta jisne aisa pappu janma jo sukanya ka rape kare, ladies toilet me ghuse. shame					Mixed	
#karan sirr..Kash intna hungama rape k against hota to AAJ India se rape khatam hogy hota. itni himmat , itni aawaj ye log Hindustan ki ldkio ki safety ke liye dikhate to Sach me is desh ki ldkiya grv see khti ha hm is desh ki rhne wali h.!! Bt reality kuch ur h		Mixed				
Rape hote aaye hai, bacche marte rahe hai. jab aise hi statement  de kar jimmedari se bhagna hi tha to politics main kaya ghuinyan  chhilne aye the ye neta sram aani chahiye in netau ko			Mixed			
ya to ek kanoon bane ki rape karne wale ka private part hi gayab kr do banao aisa kanoon to janta jane ki kis party me dam h			Mixed			
Ek rape iska bhi hota to samajh Patti kitna bura cheez Hai . BJP ki leader Hai, paise and power se jyada Matlab Hai inlogo ko. @BJP4India #UPCM #AmitShah @samajwadiparty @INCIndia @yadavakhilesh @pankhuripathak @NareshUttamSP		Hindi				
Is nalayak admi Ashwini chaudhary se puchana chahiye ki usne rape victams ke liye kya kiya,Bhansali ho ya koi aur director sirf paise kamane se matlab			Mixed			
Tu tab kahan tha jab 2 muslims ne dalit ko paralyze hone tak maara, Ek dalit ladki ka rape kiya muslim ne, dalit ka ghar jalaya muslim ne? Tab ek baar bhi tweet nahi kiya. C******* Tu bas vote k liye dalito ka use karta hai.			Mixed		Mixed	
Kal ko BJP ki State govts ko agar rapists bol dein ki ladkiyon ka sadak pe nikalna ban karo warna hum rape karenge toh govt ladkiyon ka nikalna ban kar degi kanoon vyavastha bigadne ka bahana de kar?			Hindi			
Beheno! humlog Apne haq, education, career, safety, security ke liye to ladh nehi paaye aur na he humlog rape, female foeticide ko rok paaye. Wo bahut muskil kaam hai. chalo #Padmaavat ka release rokte hain, jaan dete hain		Mixed				
Ek CM Gaaye Ki Seva Mai laga hua hai, aur baaki 3 CM #Padmavaat ko ban kraane Mai lage hue. Sabse jaada beshram, Haryana CM, Jo har Baar mauka deta hai sabko, kuch na kuch bolne pr, chaiye voh Ram Rahim ho, Brutal Rape ho ya Padmavati ho. I hate these 4 CMs of @BJP4India #Useless			English			
